text,label
"Congratulations! You have won a prize. Click the link to claim your reward now.",phishing
"Urgent! Your bank account will be blocked today. Verify your account immediately.",phishing
"Your account has been selected for a cash reward. Submit your details to receive it.",phishing
"Your password has expired. Click here immediately to reset it.",phishing
"Important security alert! Confirm your login information now to avoid suspension.",phishing
"You have won a lottery. Send your bank details to receive the money.",phishing
"Your package is waiting. Pay the delivery fee using the link below.",phishing
"Your account has suspicious activity. Verify your identity immediately.",phishing
"Claim your exclusive offer before it expires. Click the link now.",phishing
"Your email account will be permanently deleted unless you verify it today.",phishing
"Congratulations! You are eligible for a free gift. Provide your information to claim it.",phishing
"Security warning: unusual login detected. Confirm your credentials immediately.",phishing
"Dear customer, your account requires urgent verification. Click the link to continue.",phishing
"Win a brand new smartphone! Enter your personal information to participate.",phishing
"Your payment failed. Update your card information using the attached link.",phishing
"Your bank account has been temporarily locked. Verify your PIN to restore access.",phishing
"Limited time offer! You have been selected for a special reward. Claim now.",phishing
"Your subscription will be cancelled today. Confirm your payment details immediately.",phishing
"Please provide your OTP to complete the verification process.",phishing
"Your tax refund is ready. Click here and enter your bank details to receive it.",phishing
"Hi, are we still meeting for lunch tomorrow?",legitimate
"Please find the meeting agenda attached for tomorrow's discussion.",legitimate
"Your monthly electricity bill is available in your customer account.",legitimate
"The project report has been uploaded to the shared folder.",legitimate
"Thank you for attending today's workshop. The presentation will be shared shortly.",legitimate
"Your order has been delivered successfully.",legitimate
"Your library book is due next Monday.",legitimate
"Please submit your assignment before the deadline.",legitimate
"The university has announced the examination timetable.",legitimate
"Your appointment is confirmed for Monday at 10 AM.",legitimate
"Here is the document we discussed during the meeting.",legitimate
"Your monthly bank statement is available in your official banking application.",legitimate
"Please remember to bring your ID card to the examination.",legitimate
"The team meeting has been moved to Friday afternoon.",legitimate
"Your course certificate is now available for download from the learning portal.",legitimate
"Thank you for registering for the event. We look forward to seeing you.",legitimate
"The weather forecast shows rain tomorrow.",legitimate
"Please review the attached project proposal when you have time.",legitimate
"Your food delivery order is on the way.",legitimate
"The workshop starts at 2 PM in the computer laboratory.",legitimate
